2026-04-24 09:31:01,943 | INFO | ui.console.handler | Handling users command
2026-04-24 09:31:01,945 | INFO | ui.console | Instruction processed
2026-04-24 09:31:12,707 | INFO | ui.console | Raw instruction received: new
2026-04-24 09:31:12,707 | INFO | ui.console | Parsed instruction task: new
2026-04-24 09:31:12,707 | INFO | ui.console.handler | Dispatch command: task=new
2026-04-24 09:31:12,707 | INFO | ui.console.handler | Handling new command
2026-04-24 09:31:12,707 | INFO | ui.console.handler | Registering new game, host_user_id=[cc443bf7-a124-4c4d-9291-2ad9b871fb53]
2026-04-24 09:31:12,730 | INFO | ui.console.handler | Created new game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8] and joined player id=[b1c1515f-fcef-444e-a915-346aab1ece1d] from user id=[cc443bf7-a124-4c4d-9291-2ad9b871fb53]
2026-04-24 09:31:12,730 | INFO | ui.console | Instruction processed
2026-04-24 09:31:26,669 | INFO | ui.console | Raw instruction received: game
2026-04-24 09:31:26,669 | INFO | ui.console | Parsed instruction task: game
2026-04-24 09:31:26,669 | INFO | ui.console.handler | Dispatch command: task=game
2026-04-24 09:31:26,669 | INFO | ui.console.handler | Handling game command
2026-04-24 09:31:26,672 | INFO | ui.console.handler | Showing game state, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
2026-04-24 09:31:26,678 | INFO | ui.console | Instruction processed
2026-04-24 09:31:48,072 | INFO | ui.console | Raw instruction received: gen_decks
2026-04-24 09:31:48,072 | INFO | ui.console | Parsed instruction task: gen_decks
2026-04-24 09:31:48,072 | INFO | ui.console.handler | Dispatch command: task=gen_decks
2026-04-24 09:31:48,072 | INFO | ui.console.handler | Handling gen_decks command
2026-04-24 09:31:48,077 | INFO | ui.console.handler | Decks generated for game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
2026-04-24 09:31:48,078 | INFO | ui.console | Instruction processed
2026-04-24 09:32:20,872 | INFO | ui.console | Raw instruction received: join c2745a4a-5567-4988-b4c6-f242d059c718
2026-04-24 09:32:20,873 | INFO | ui.console | Parsed instruction task: join
2026-04-24 09:32:20,873 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-24 09:32:20,873 | INFO | ui.console.handler | Handling join command
2026-04-24 09:32:20,887 | INFO | ui.console.handler | Player joined, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8] user id=[c2745a4a-5567-4988-b4c6-f242d059c718] player id=[972f6de5-aaef-48cd-b32e-4a3c8b2ec5b5]
2026-04-24 09:32:20,887 | INFO | ui.console | Instruction processed
2026-04-24 09:32:33,275 | INFO | ui.console | Raw instruction received: join 248a0aea-a7d2-4cfb-a960-8206649ade25
2026-04-24 09:32:33,275 | INFO | ui.console | Parsed instruction task: join
2026-04-24 09:32:33,275 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-24 09:32:33,275 | INFO | ui.console.handler | Handling join command
2026-04-24 09:32:33,292 | INFO | ui.console.handler | Player joined, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8] user id=[248a0aea-a7d2-4cfb-a960-8206649ade25] player id=[ab51d92d-546d-4cf8-b9f6-d846873b7a9a]
2026-04-24 09:32:33,293 | INFO | ui.console | Instruction processed
2026-04-24 09:32:37,870 | INFO | ui.console | Raw instruction received: players
2026-04-24 09:32:37,870 | INFO | ui.console | Parsed instruction task: players
2026-04-24 09:32:37,870 | INFO | ui.console.handler | Dispatch command: task=players
2026-04-24 09:32:37,870 | INFO | ui.console.handler | Handling players command
2026-04-24 09:32:37,870 | INFO | ui.console.handler | Showing players, game id=[d3a61f6f-7782-48e0-a1bd-e4cce75647f8]
2026-04-24 09:32:37,874 | INFO | ui.console | Instruction processed
